Year,,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czech Republic,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,South Korea,Spain,Sweden,Switzerland,Turkiye,Türkiye,United Kingdom,United States
1970-01-01 00:00:00,CurrencyPerDollar,0.892857,1.889494,1.239468,1.044219,0.011278,18.444167,6.625,,,7.5,,0.706384,0.846731,1.871328,0.088041,,0.88,0.529058,0.00035,0.322786,360.0,,,,1.239468,0.0125,1.642684,0.892857,7.14286,0.0004,0.143404,,,310.555833,0.420708,5.17321,4.37295,1.1e-05,,0.416667,1.0
1970-01-01 00:00:00,Inflation,3.439153439,4.372824416,3.908472385,3.346039814,48.92398584,6.908622758,4.652297493,,,6.514841417,,2.740420431,5.299641246,3.450249364,2.841670679,,13.37247515,8.207190161,6.110742036,4.968319873,6.924173835,,,,4.639353444,5.003412055,3.668930888,6.517181052,10.63720653,0.500544016,6.38014449,,,15.95034236,5.731144843,7.016358851,3.615986786,7.923952083,,6.366568417,5.838255338
1970-01-01 00:00:00,Inflation_perc_change,4.894179876388227,41.95618948636059,4.1150882054382,-26.647010684594242,8.395833926641227,-1.0461736861699156,76.93778712645461,,,86.783034848269,,24.247680654521233,-12.344131373343291,80.38836038814694,7.6831465828021805,,-38.55491459746298,10.628426294571703,148.60077929866495,86.97204859099415,31.89352460560537,,,,102.20031153037516,48.60133803364859,-50.56541803512388,32.32203589153399,259.0073502943331,12.574535950355173,-27.356133396630344,,,28.74013521335408,165.2881450159684,160.6379257777601,45.27659706519551,60.918765010178745,,16.88932619105028,6.881042903923551
1971-01-01 00:00:00,CurrencyPerDollar,0.88267,1.815773,1.216091,1.009811,0.012209,19.933333,6.625833,,,7.426338,,0.703769,0.844659,1.793302,0.088041,,0.88,0.521761,0.000379,0.320389,350.677694,,,,1.216091,0.0125,1.595982,0.880607,7.055905,0.000389,0.14146,,,347.1475,0.417515,5.125905,4.133854,1.5e-05,,0.41092,1.0
1971-01-01 00:00:00,Inflation,6.138107417,4.704258138,4.343628546,2.704918033,20.0522312,11.9402617,3.083048414,,,5.869869591,,6.475765431,5.397518656,5.240974483,3.289470722,,6.73187453,8.961748634,11.97256816,4.791664383,6.395348837,,,,4.67221498,5.469028994,7.477678677,10.38756832,6.223863235,1.099999999,11.94689837,,,13.51170233,8.236887149,7.395541138,6.573221119,19.01140868,,9.444837423,4.292766688
1971-01-01 00:00:00,Inflation_perc_change,78.47727720996282,7.579396986242948,11.133663440224083,-19.1606142376882,-1.852709150654828,72.83128806205981,-33.730626241360184,,,-9.900038768664333,,136.30554486257952,1.84686859839569,51.90132451539522,15.758337034240121,,-49.658724697648815,9.193870961898853,95.92658452061025,-3.5556384153126563,-7.637373217392662,,,,0.7083214589416187,9.30598827123783,103.81083496168601,59.38744431248002,-41.48968324111312,71.65505261622168,87.2512196036488,,,-15.288951014089703,43.72149674528822,5.404260173294273,81.782221783816,139.92331706279452,,48.35052110302327,-26.471755011137187
1972-01-01 00:00:00,CurrencyPerDollar,0.838698,1.679857,1.091093,0.990663,0.020835,21.866667,6.635,,,6.949292,,0.697363,0.769036,1.630327,0.088042,,0.882604,0.508391,0.000418,0.301207,303.1725,,,,1.091093,0.0125,1.456408,0.83668,6.588249,0.000368,0.134942,,,392.894167,0.386279,4.762417,3.81925,1.4e-05,,0.40039,1.0
1972-01-01 00:00:00,Inflation,6.024096386,6.355146127,5.448431284,4.988028731,77.79574048,12.44445899,4.601125693,,,6.562360903,,6.662497835,6.063003097,5.484933122,4.331201232,,9.811323913,8.605817453,12.88147082,5.749503937,4.843517139,,,,5.225680506,4.943692364,7.802792193,6.932804592,7.25843583,-0.098911967,10.66335598,,,11.68898668,8.272287549,6.007389699,6.660007042,15.41645572,,7.071098395,3.272278247
1972-01-01 00:00:00,Inflation_perc_change,-1.8574297133386208,35.09348212982779,25.435018816638944,84.40591064668314,287.9655072000167,4.2226653206436815,49.239488815889885,,,11.797388362115658,,2.8835572565074186,12.329451427837746,4.654833557982818,31.66863602198675,,45.74430746260509,-3.9716711050076903,7.591542999409406,19.989704566919375,-24.26500473315776,,,,11.84589168882808,-9.605665476930913,4.347786660049868,-33.25863784066067,16.622675594509584,-108.99199700817455,-10.74372904370826,,,-13.489903829164662,0.4297788637822819,-18.77011314111089,1.3202952012240088,-18.90945074355216,,-25.132661597959192,-23.77227823381768
1973-01-01 00:00:00,CurrencyPerDollar,0.704114,1.422934,0.966202,1.00009,0.071642,23.571667,6.646758,,,6.0495,,0.642674,0.678822,1.366479,0.086941,,0.901342,0.51827,0.000419,0.301092,271.701667,,,,0.966202,0.0125,1.268565,0.736812,5.765833,0.000335,0.122281,,,398.321667,0.35015,4.36725,3.164833,1.4e-05,,0.408171,1.0
