country,year,unemployment_percentage_change,inflation_percentage_change
Germany,1999,-9.533054051292543,-35.75025870062502
Germany,2000,-10.582787440704756,146.01760227878077
Germany,2001,-1.818870784388027,37.74219658686433
Germany,2002,9.121317380676697,-28.38163578148425
Germany,2003,15.291204904503664,-27.208776395532453
Germany,2004,9.694242765108909,61.061809497867415
Germany,2005,4.101799198284706,-7.133528363364949
Germany,2006,-8.211695173278411,1.97265887180742
Germany,2007,-15.531707317073174,45.70213648024413
Germany,2008,-13.086163086163072,14.359721956104888
Germany,2009,2.8837209302325477,-88.10145302835485
Germany,2010,-10.010333247222947,252.94937737012123
Germany,2011,-16.391560212430022,88.00084492410892
Germany,2012,-7.656652360515038,-3.2134185553625016
Germany,2013,-2.751440788250603,-25.081819373885807
Germany,2014,-4.779200917606574,-39.73682748236139
Germany,2015,-7.167235494880552,-43.26979038238012
Germany,2016,-10.856401384083036,-4.408626889033817
Germany,2017,-9.121785540999516,206.96574182307987
Germany,2018,-9.663641217298458,14.751553928950775
Germany,2019,-7.328605200945615,-16.54047973446986
Germany,2020,22.959183673469383,-89.97842167938201
Germany,2021,-5.653526970954359,2016.7245774901555
Germany,2022,-13.826278174821338,124.10568647564068
Germany,2023,-2.8708133971291794,-13.475848451878802
Greece,1990,0.0,49.63497153633101
Greece,1991,0.0,-4.784562177711127
Greece,1992,17.894875858425774,-18.394326909349388
Greece,1993,14.002464433740336,-9.2322386945334
Greece,1994,-3.625822934067013,-24.54461074339983
Greece,1995,3.1504893964110936,-17.836564477542794
Greece,1996,2.817040624691103,-8.2820617970793
Greece,1997,0.6729475100942128,-32.44288950635147
Greece,1998,16.758976317799856,-13.904923645531742
Greece,1999,-0.7278972765191849,-44.68090240201138
Greece,2000,-6.533201515900466,19.515364985979524
Greece,2001,-5.121198765976209,7.06994148583866
Greece,2002,-3.8833147528799623,7.569436717432221
Greece,2003,-4.900444616276822,-2.719721268753428
Greece,2004,8.019107632889511,-17.89478198780694
Greece,2005,-5.2126458411742576,22.292462416937365
